year,pid,age,sex,marstat,educ,inctot,k6sum,outcome,label_outcome,label_sex,label_education
2021,102,47,2,10,108,20800,3,0,No,Female,Grade 5
2021,101,39,2,50,400,45000,3,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,63,2,10,115,8400,0,0,No,Female,Grade 11
2021,102,53,1,10,114,14005,6,0,No,Male,Grade 10
2021,103,30,2,50,116,5000,7,0,No,Female,"12th grade, no diploma"
2021,101,63,2,30,109,10680,12,0,No,Female,Grade 6
2021,101,65,2,50,201,29000,0,0,No,Female,High school graduate
2021,101,70,1,30,201,5220,0,0,No,Male,High school graduate
2021,101,60,2,30,201,37440,0,0,No,Female,High school graduate
2021,101,47,2,50,501,51168,0,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,102,23,1,50,201,16270,0,0,No,Male,High school graduate
2021,101,64,2,30,201,52020,15,1,Yes,Female,High school graduate
2021,101,85,2,20,102,13200,0,0,No,Female,Never attended/kindergarten only
2021,101,79,1,20,202,28268,1,0,No,Male,GED or equivalent
2021,101,32,2,50,501,70050,1,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,101,72,2,10,501,840,9,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,102,72,1,10,504,31840,3,0,No,Male,Other degree
2021,101,37,2,10,501,106744,2,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,102,36,1,10,501,106744,3,0,No,Male,"Master's degree (MA,MS,Med,MBA)"
2021,102,40,2,10,301,25000,0,0,No,Female,"Some college, no degree"
2021,101,60,2,50,400,29124,11,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,70,1,10,504,32454,0,0,No,Male,Other degree
2021,102,74,2,10,201,32454,4,0,No,Female,High school graduate
2021,101,76,2,20,201,15600,0,0,No,Female,High school graduate
2021,102,42,2,50,116,15360,12,0,No,Female,"12th grade, no diploma"
2021,101,56,2,20,301,20000,5,0,No,Female,"Some college, no degree"
2021,102,64,2,30,116,12000,1,0,No,Female,"12th grade, no diploma"
2021,103,28,2,50,201,15000,0,0,No,Female,High school graduate
2021,101,47,2,30,400,46897,0,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,63,2,50,201,20000,0,0,No,Female,High school graduate
2021,101,81,1,10,110,7500,5,0,No,Male,Grade 7
2021,101,56,2,10,301,12000,8,0,No,Female,"Some college, no degree"
2021,102,58,1,10,504,65000,3,0,No,Male,Other degree
2021,103,26,1,50,301,44801,6,0,No,Male,"Some college, no degree"
2021,102,85,2,20,111,51800,18,1,Yes,Female,Grade 8
2021,101,56,1,10,201,32000,0,0,No,Male,High school graduate
2021,102,57,2,10,201,28000,0,0,No,Female,High school graduate
